reference,plan,name,document-url,documentation-url,document-types
crawley-2030-1,crawley-2030,Supplementary planning documents (SPD),https://crawley.gov.uk/planning/planning-policy/local-plan/supplementary-planning-documents-spd,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,supplementary-planning-documents
crawley-2030-2,crawley-2030,"Local Plan adoption statement October 2024 (PDF, 61.57 KB)",https://crawley.gov.uk/sites/default/files/2024-10/Local%20Plan%20adoption%20statement%20October%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,local-plan
crawley-2030-3,crawley-2030,"Crawley borough Local Plan 2023 to 2040 (PDF, 10.83 MB)",https://crawley.gov.uk/sites/default/files/2024-11/Crawley%20borough%20Local%20Plan%202023%20to%202040.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,local-plan
crawley-2030-4,crawley-2030,"Local Plan map October 2024 (PDF, 13.51 MB)",https://crawley.gov.uk/sites/default/files/2024-10/Local%20Plan%20map%20October%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,local-plan
crawley-2030-5,crawley-2030,"Strategic environmental assessment post-adoption statement November 2024 (PDF, 862.62 KB)",https://crawley.gov.uk/sites/default/files/2024-11/Strategic%20environmental%20assessment%20post-adoption%20statement%20November%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,adoption-statement
crawley-2030-6,crawley-2030,"Sustainability report October 2024 (PDF, 6.6 MB)",https://crawley.gov.uk/sites/default/files/2024-10/Sustainability%20report%20October%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,inspectors-report
crawley-2030-7,crawley-2030,"Habitats regulations assessment integrity test October 2024 (PDF, 166.6 KB)",https://crawley.gov.uk/sites/default/files/2024-10/Habitats%20regulations%20assessment%20integrity%20test%20October%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,strategic-flood-risk-assessment
crawley-2030-8,crawley-2030,"Monitoring and implementation framework October 2024 (PDF, 320.57 KB)",https://crawley.gov.uk/sites/default/files/2024-10/Monitoring%20and%20implementation%20framework%20October%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,adoption-statement
crawley-2030-9,crawley-2030,"Crawley borough Local Plan Inspectors final report September 2024 (PDF, 1.17 MB)",https://crawley.gov.uk/sites/default/files/2024-10/Crawley%20Borough%20Local%20Plan%20Inspectors%27%20final%20report%20September%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,local-plan
doncaster-local-plan-1,doncaster-local-plan,Sign In / Up,https://www.doncaster.gov.uk/Profile,https://www.doncaster.gov.uk/services/planning/local-plan,supplementary-planning-documents
doncaster-local-plan-2,doncaster-local-plan,Doncaster Local Plan Adopted 23 Sept 2021,https://dmbcwebstolive01.blob.core.windows.net:443/media/Default/Planning/Documents/Local%20Plan/Submission/Doncaster%20Local%20Plan%20Adopted%2023%20Sept%202021.pdf,https://www.doncaster.gov.uk/services/planning/local-plan,local-plan
doncaster-local-plan-3,doncaster-local-plan,Supplementary Planning Documents and Interim Planning Guidance,https://www.doncaster.gov.uk/services/planning/ldf-supplementary-planning-documents,https://www.doncaster.gov.uk/services/planning/local-plan,supplementary-planning-documents
doncaster-local-plan-4,doncaster-local-plan,"Housing, Employment and Retail",https://www.doncaster.gov.uk/services/planning/planning-policy-background-documents-housing-employment-and-retail,https://www.doncaster.gov.uk/services/planning/local-plan,strategic-housing-market-assessment
doncaster-local-plan-5,doncaster-local-plan,"Transport, Infrastructure and Viability",https://www.doncaster.gov.uk/services/planning/planning-policy-background-documents-transport-infrastructure-and-viability,https://www.doncaster.gov.uk/services/planning/local-plan,financial-viability-study
doncaster-local-plan-6,doncaster-local-plan,Historic Environment and Design,https://www.doncaster.gov.uk/services/planning/planning-policy-background-documents-the-historic-environment-and-design,https://www.doncaster.gov.uk/services/planning/local-plan,strategic-housing-market-assessment
doncaster-local-plan-7,doncaster-local-plan,Green Infrastructure and the Natural Environment,https://www.doncaster.gov.uk/services/planning/planning-policy-background-documents-green-infrastructure-and-the-natural-environment,https://www.doncaster.gov.uk/services/planning/local-plan,core-strategy
doncaster-local-plan-8,doncaster-local-plan,Climate Change and Energy,https://www.doncaster.gov.uk/services/planning/planning-policy-background-documents-climate-change-and-energy,https://www.doncaster.gov.uk/services/planning/local-plan,area-action-plan
doncaster-local-plan-9,doncaster-local-plan,Doncaster Local Developmemt Scheme June 2024,https://www.doncaster.gov.uk/Documents/DocumentView/Stream/Media/Default/Planning/Documents/Local Plan/Doncaster Local Developmemt Scheme June 2024.pdf,https://www.doncaster.gov.uk/services/planning/local-plan,local-plan
doncaster-local-plan-10,doncaster-local-plan,Adoption Statement,https://dmbcwebstolive01.blob.core.windows.net:443/media/Default/Planning/Documents/Local%20Plan/Submission/Adoption%20Statement.pdf,https://www.doncaster.gov.uk/services/planning/local-plan,adoption-statement
doncaster-local-plan-11,doncaster-local-plan,Local Plan - Inspectors Final Report,https://dmbcwebstolive01.blob.core.windows.net:443/media/Default/Planning/Documents/Local%20Plan/Local%20Plan%20-%20Inspectors%20Final%20Report,https://www.doncaster.gov.uk/services/planning/local-plan,local-plan
doncaster-local-plan-12,doncaster-local-plan,Local Plan - Inspectors Final Report Appendix,https://dmbcwebstolive01.blob.core.windows.net:443/media/Default/Planning/Documents/Local%20Plan/Local%20Plan%20-%20Inspectors%20Final%20Report%20Appendix,https://www.doncaster.gov.uk/services/planning/local-plan,local-plan
doncaster-local-plan-13,doncaster-local-plan,Sustainability Appraisal Post Adoption Statement - September 2021,https://dmbcwebstolive01.blob.core.windows.net:443/media/Default/Planning/Documents/Local%20Plan/Site%20Selection/Sustainability%20Appraisal%20Post%20Adoption%20Statement%20-%20September%202021.pdf,https://www.doncaster.gov.uk/services/planning/local-plan,adoption-statement
doncaster-local-plan-14,doncaster-local-plan,Habitats Regulation Assessment,https://dmbcwebstolive01.blob.core.windows.net:443/media/Default/Planning/Documents/Local%20Plan/Submission/Other%20Docs/Habitats%20Regulation%20Assessment.pdf,https://www.doncaster.gov.uk/services/planning/local-plan,viability-assessment
doncaster-local-plan-15,doncaster-local-plan,Habitats Regulation Assessment Addendum,https://dmbcwebstolive01.blob.core.windows.net:443/media/Default/Planning/Documents/Local%20Plan/Submission/Modifications/Habitats%20Regulation%20Assessment%20Addendum.pdf,https://www.doncaster.gov.uk/services/planning/local-plan,viability-assessment
rochdale-local-plan-2006-1,rochdale-local-plan-2006,Statement of decisions May 2006PDF331kBDownload,https://www.rochdale.gov.uk/downloads/file/289/statement-of-decisions-may-2006,https://www.rochdale.gov.uk/downloads/download/195/statement-of-decisions-for-the-1996-2006-local-plan,adoption-statement
rochdale-local-plan-2006-2,rochdale-local-plan-2006,Report to cabinet on our statement of decisionsPDF205kBDownload,https://www.rochdale.gov.uk/downloads/file/288/report-to-cabinet-on-our-statement-of-decisions,https://www.rochdale.gov.uk/downloads/download/195/statement-of-decisions-for-the-1996-2006-local-plan,adoption-statement
rochdale-local-plan-2006-3,rochdale-local-plan-2006,Adoption notice for statement of decisionsPDF75kBDownload,https://www.rochdale.gov.uk/downloads/file/287/adoption-notice-for-statement-of-decisions,https://www.rochdale.gov.uk/downloads/download/195/statement-of-decisions-for-the-1996-2006-local-plan,adoption-statement
crawley-2030-review-1,crawley-2030-review,Supplementary planning documents (SPD),https://crawley.gov.uk/planning/planning-policy/local-plan/supplementary-planning-documents-spd,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,supplementary-planning-documents
